,Estimated_Delay_Minutes
0,0.0
1,11.25
2,1.3235294117647058
3,2.6470588235294117
4,2.4107142857142856
5,3.75
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,1.7307692307692308
14,2.8125
15,0.0
16,0.8653846153846154
17,0.0
18,0.0
19,0.8333333333333333
20,0.0
21,0.0
22,8.4375
23,0.0
24,2.8125
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,2.8125
32,0.0
33,0.0
34,0.0
35,0.0
36,15.0
37,0.0
38,0.0
39,11.25
40,1.8
41,0.5769230769230769
42,0.0
43,0.0
44,3.75
45,2.5
46,0.0
47,11.25
48,0.0
49,0.0
50,0.0
51,1.7307692307692308
52,2.8125
53,0.0
54,3.4615384615384617
55,0.0
56,0.0
57,2.8125
58,0.0
59,2.5
60,0.0
61,0.0
62,3.4615384615384617
63,11.25
64,4.6875
65,6.428571428571428
66,1.7307692307692308
67,5.625
68,5.0
69,6.428571428571428
70,6.428571428571428
71,3.333333333333333
72,5.625
73,0.703125
74,2.4107142857142856
75,1.7307692307692308
76,3.75
77,7.5
78,11.25
79,5.625
80,4.5
81,2.3684210526315788
82,4.5
83,2.5
84,0.625
85,2.109375
86,1.7307692307692308
87,0.7258064516129032
88,9.0
89,1.6666666666666665
90,3.75
91,4.821428571428571
92,4.821428571428571
93,2.3684210526315788
94,7.5
95,12.857142857142856
96,2.6470588235294117
97,1.5517241379310345
98,11.25
99,3.0
100,1.0714285714285714
101,8.4375
102,5.625
103,2.8125
104,5.25
105,1.7307692307692308
106,18.0
107,6.428571428571428
108,4.5
109,1.40625
110,7.5
111,9.642857142857142
112,4.821428571428571
113,6.428571428571428
114,3.214285714285714
115,0.9
116,2.8125
117,3.75
118,1.7307692307692308
119,2.3684210526315788
120,5.0
121,15.0
122,7.03125
123,5.625
124,7.5
125,22.5
126,33.75
127,1.875
128,2.34375
129,2.25
130,5.1923076923076925
131,8.4375
132,15.0
133,6.428571428571428
134,5.625
135,15.0
136,3.629032258064516
137,3.409090909090909
138,7.5
139,0.9782608695652174
140,8.035714285714286
141,3.214285714285714
142,8.4375
143,7.5
144,6.0
145,9.642857142857142
146,3.6
147,5.113636363636363
148,3.6
149,4.821428571428571
150,5.625
151,3.515625
152,3.6
153,7.5
154,4.821428571428571
155,4.017857142857143
156,4.6875
157,3.214285714285714
158,1.776315789473684
159,5.625
160,3.214285714285714
161,2.8125
162,6.0
163,16.875
164,10.384615384615385
165,7.5
166,8.653846153846155
167,7.5
168,6.61764705882353
169,10.588235294117647
170,4.821428571428571
171,3.629032258064516
172,5.921052631578947
173,6.328125
174,4.5
175,5.625
176,4.5
177,10.0
178,7.5
179,9.0
180,10.588235294117647
181,3.333333333333333
182,3.75
183,11.25
184,14.0625
185,8.653846153846155
186,4.5
187,5.625
188,3.103448275862069
189,3.8793103448275863
190,5.357142857142857
191,4.285714285714286
192,5.625
193,4.5
194,2.6470588235294117
195,3.75
196,2.6785714285714284
197,2.1951219512195124
198,5.625
199,4.285714285714286
200,14.0625
201,7.03125
202,3.75
203,16.875
204,4.5
205,4.5
206,22.5
207,6.923076923076923
208,7.03125
209,12.5
210,6.923076923076923
211,8.181818181818182
212,8.035714285714286
213,4.090909090909091
214,7.5
215,33.75
216,1.4361702127659572
217,3.0
218,2.393617021276596
219,3.9705882352941178
220,15.0
221,2.571428571428571
222,3.662790697674419
223,3.829787234042553
224,5.080645161290322
225,2.34375
226,1.9736842105263157
227,9.204545454545455
228,1.534090909090909
229,3.9705882352941178
230,2.6999999999999997
231,5.0
232,4.21875
233,19.285714285714285
234,10.0
235,2.903225806451613
236,5.806451612903226
237,10.086206896551724
238,8.75
239,12.272727272727272
240,12.5
241,4.354838709677419
242,3.9705882352941178
243,4.354838709677419
244,4.390243902439025
245,3.75
246,4.21875
247,13.125
248,5.625
249,8.4375
250,5.625
251,7.03125
252,4.759615384615384
253,4.038461538461538
254,2.5
255,4.821428571428571
256,5.625
257,6.136363636363636
258,5.625
259,5.625
260,9.84375
261,9.642857142857142
262,7.105263157894736
263,7.5
264,3.4615384615384617
265,8.4375
266,3.515625
267,8.4375
268,9.84375
269,9.375
270,2.8125
271,13.5
272,8.75
273,6.25
274,6.53225806451613
275,5.25
276,3.75
277,5.625
278,7.5
279,3.308823529411765
280,6.25
281,2.903225806451613
282,13.846153846153847
283,4.5
284,5.955882352941177
285,6.428571428571428
286,7.9411764705882355
287,5.3999999999999995
288,2.142857142857143
289,7.9411764705882355
290,4.3269230769230775
291,3.662790697674419
292,6.428571428571428
293,7.9411764705882355
294,5.357142857142857
295,7.9411764705882355
296,12.115384615384615
297,4.615384615384615
298,3.75
299,5.25
300,8.653846153846155
301,2.2222222222222223
302,3.103448275862069
303,5.806451612903226
304,5.113636363636363
305,2.8723404255319145
306,2.710843373493976
307,5.357142857142857
308,3.4615384615384617
309,10.384615384615385
310,7.5
311,3.629032258064516
312,7.159090909090909
313,12.115384615384615
314,7.5
315,5.080645161290322
316,5.806451612903226
317,3.4615384615384617
318,5.744680851063829
319,1.0714285714285714
320,33.75
321,18.75
322,4.6875
323,7.5
324,8.571428571428571
325,5.25
326,3.5795454545454546
327,5.5
328,5.357142857142857
329,3.308823529411765
330,11.911764705882353
331,3.8793103448275863
332,4.21875
333,2.4609375
334,9.84375
335,7.5
336,18.40909090909091
337,7.258064516129032
338,7.905405405405406
339,11.612903225806452
340,16.363636363636363
341,5.806451612903226
342,6.75
343,5.625
344,15.0
345,4.5
346,9.782608695652174
347,12.857142857142856
348,4.390243902439025
349,8.571428571428571
350,8.035714285714286
351,7.232142857142858
352,14.464285714285715
353,11.25
354,14.0625
355,7.874999999999999
356,14.210526315789473
357,5.625
358,5.472972972972974
359,4.615384615384615
360,4.285714285714286
361,8.289473684210526
362,7.788461538461538
363,15.0
364,7.3125
365,3.9374999999999996
366,3.3582089552238803
367,8.839285714285714
368,15.576923076923077
369,4.821428571428571
370,5.625
371,9.26470588235294
372,2.608695652173913
373,8.75
374,7.788461538461538
375,3.616071428571429
376,4.4021739130434785
377,5.625
378,7.279411764705883
379,5.625
380,5.080645161290322
381,7.874999999999999
382,13.23529411764706
383,11.911764705882353
384,2.6470588235294117
385,6.136363636363636
386,6.428571428571428
387,6.0
388,6.923076923076923
389,2.25
390,9.84375
391,6.53225806451613
392,3.3445945945945947
393,6.0576923076923075
394,10.5
395,4.615384615384615
396,6.206896551724138
397,1.8529411764705883
398,3.5294117647058822
399,3.266129032258065
400,7.5
401,4.3269230769230775
402,6.53225806451613
403,7.5
404,6.964285714285714
405,8.571428571428571
406,4.5
407,7.5
408,1.9852941176470589
409,6.923076923076923
410,2.295918367346939
411,5.869565217391304
412,13.846153846153847
413,1.8292682926829267
414,6.0576923076923075
415,13.846153846153847
416,4.108695652173913
417,5.806451612903226
418,17.5
419,5.454545454545455
420,4.144736842105263
421,7.788461538461538
422,6.0
423,9.519230769230768
424,5.25
425,9.75
426,11.25
427,10.0
428,6.0576923076923075
429,14.0625
430,13.750000000000002
431,14.464285714285715
432,18.0
433,19.038461538461537
434,5.1923076923076925
435,15.0
436,5.869565217391304
437,7.983870967741936
438,4.166666666666666
439,7.983870967741936
440,14.0625
441,18.28125
442,8.839285714285714
443,11.25
444,10.0
445,8.653846153846155
446,8.035714285714286
447,18.75
448,15.0
449,10.588235294117647
450,5.1923076923076925
451,7.5
452,7.232142857142858
453,8.035714285714286
454,7.071428571428571
455,8.839285714285714
456,3.616071428571429
457,16.875
458,13.846153846153847
459,18.0
460,5.806451612903226
461,6.53225806451613
462,9.0
463,5.294117647058823
464,2.967032967032967
465,5.0
466,9.642857142857142
467,12.053571428571429
468,7.5
469,2.3507462686567164
470,14.0625
471,9.166666666666666
472,7.159090909090909
473,5.113636363636363
474,14.210526315789473
475,10.5
476,3.75
477,13.23529411764706
478,5.526315789473684
479,7.697368421052632
480,6.75
481,2.1634615384615388
482,4.3269230769230775
483,4.787234042553192
484,4.178571428571429
485,8.653846153846155
486,5.7558139534883725
487,8.863636363636363
488,6.8023255813953485
489,6.75
490,2.6999999999999997
491,5.48780487804878
492,2.316176470588235
493,5.7558139534883725
494,3.0508474576271185
495,4.921875
496,6.187500000000001
497,10.227272727272727
498,8.653846153846155
499,10.161290322580644
500,8.181818181818182
501,2.168674698795181
502,5.0625
503,4.308510638297872
504,6.53225806451613
505,6.75
506,4.375
507,13.846153846153847
508,7.983870967741936
509,2.4725274725274726
510,6.428571428571428
511,6.53225806451613
512,11.842105263157894
513,2.903225806451613
514,19.038461538461537
515,12.65625
516,6.75
517,17.205882352941174
518,8.4375
519,3.991935483870968
520,6.136363636363636
521,9.84375
522,10.588235294117647
523,3.0
524,7.788461538461538
525,20.76923076923077
526,11.25
527,13.189655172413792
528,13.750000000000002
529,15.0
530,8.25
531,12.1875
532,8.709677419354838
533,8.4375
534,11.25
535,9.782608695652174
536,10.0
537,13.846153846153847
538,22.5
539,15.46875
540,8.839285714285714
541,9.642857142857142
542,5.625
543,7.5
544,5.744680851063829
545,18.28125
546,3.351063829787234
547,18.0
548,6.875000000000001
549,3.829787234042553
550,14.0625
551,10.0
552,12.375000000000002
553,9.545454545454545
554,15.34090909090909
555,9.166666666666666
556,9.0
557,9.519230769230768
558,10.161290322580644
559,6.875000000000001
560,3.2499999999999996
561,4.297752808988764
562,20.76923076923077
563,7.670454545454545
564,4.308510638297872
565,5.625
566,9.310344827586206
567,9.75
568,9.0
569,7.697368421052632
570,7.3125
571,4.017857142857143
572,5.7558139534883725
573,7.697368421052632
574,9.0
575,15.46875
576,8.534482758620689
577,3.333333333333333
578,8.709677419354838
579,7.258064516129032
580,15.9375
581,8.709677419354838
582,9.764150943396226
583,7.714285714285714
584,7.5
585,6.923076923076923
586,5.380434782608696
587,9.435483870967742
588,10.546875
589,11.612903225806452
590,4.354838709677419
591,5.443548387096774
592,7.258064516129032
593,2.903225806451613
594,9.0
595,9.0
596,15.46875
597,11.25
598,4.939024390243903
599,12.857142857142856
600,4.909090909090909
601,9.310344827586206
602,11.875
603,8.602941176470587
604,5.294117647058823
605,7.279411764705883
606,22.5
607,11.25
608,13.846153846153847
609,10.5
610,10.5
611,9.26470588235294
612,6.923076923076923
613,10.426829268292684
614,9.0
615,6.75
616,15.882352941176471
617,4.939024390243903
618,22.5
619,7.714285714285714
620,6.923076923076923
621,3.5747663551401865
622,19.852941176470587
623,5.625
624,5.869565217391304
625,17.8125
626,9.72972972972973
627,6.223404255319149
628,3.6206896551724137
629,5.625
630,10.446428571428571
631,2.8378378378378377
632,4.365671641791045
633,8.125
634,15.749999999999998
635,4.144736842105263
636,10.446428571428571
637,6.666666666666666
638,9.545454545454545
639,11.25
640,10.161290322580644
641,9.75
642,21.09375
643,6.8023255813953485
644,5.070422535211268
645,19.852941176470587
646,9.310344827586206
647,5.464285714285714
648,4.375
649,10.161290322580644
650,9.75
651,10.5
652,11.25
653,9.75
654,5.25
655,8.895348837209301
656,10.086206896551724
657,14.25
658,7.682926829268293
659,12.75
660,8.333333333333332
661,5.232558139534883
662,4.337349397590362
663,7.697368421052632
664,5.113636363636363
665,6.101694915254237
666,22.5
667,6.169354838709677
668,10.862068965517242
669,5.080645161290322
670,12.338709677419354
671,5.769230769230768
672,13.23529411764706
673,5.48780487804878
674,3.214285714285714
675,10.161290322580644
676,6.358695652173912
677,7.983870967741936
678,7.9411764705882355
679,3.9705882352941178
680,2.4264705882352944
681,12.397959183673468
682,3.8461538461538463
683,3.0535714285714284
684,11.25
685,17.5
686,10.833333333333332
687,13.846153846153847
688,14.166666666666668
689,11.25
690,12.573529411764707
691,12.0
692,7.279411764705883
693,6.702127659574468
694,8.372093023255815
695,11.700000000000001
696,13.189655172413792
697,7.5
698,7.279411764705883
699,13.06451612903226
700,4.921875
701,11.25
702,5.1
703,18.0
704,11.953125
705,14.516129032258064
706,14.318181818181818
707,18.52941176470588
708,10.178571428571429
709,7.826086956521739
710,13.333333333333332
711,22.5
712,5.322580645161291
713,18.173076923076923
714,21.375
715,12.5
716,4.365671641791045
717,9.095744680851062
718,3.103448275862069
719,9.107142857142858
720,3.3962264150943393
721,4.21875
722,9.204545454545455
723,3.7155963302752295
724,11.25
725,9.642857142857142
726,3.415178571428571
727,9.642857142857142
728,6.026785714285714
729,16.875
730,4.63235294117647
731,11.911764705882353
732,6.666666666666666
733,4.144736842105263
734,6.809210526315789
735,17.386363636363637
736,13.333333333333332
737,8.49056603773585
738,12.954545454545455
739,23.90625
740,7.346938775510203
741,7.03125
742,10.738636363636363
743,13.660714285714285
744,15.652173913043478
745,15.0
746,3.857142857142857
747,4.038461538461538
748,11.25
749,13.189655172413792
750,10.227272727272727
751,7.5
752,4.945054945054945
753,4.759615384615384
754,12.0
755,22.5
756,6.026785714285714
757,9.0
758,31.153846153846153
759,11.953125
760,3.375
761,5.806451612903226
762,6.176470588235294
763,5.454545454545455
764,4.0
765,12.413793103448276
766,15.34090909090909
767,4.285714285714286
768,10.161290322580644
769,3.347107438016529
770,4.455445544554456
771,6.6891891891891895
772,3.825
773,3.629032258064516
774,14.142857142857142
775,14.25
776,14.0625
777,10.887096774193548
778,14.4
779,13.5
780,5.163934426229508
781,4.664634146341463
782,5.969387755102042
783,14.4
784,9.84375
785,9.0
786,10.285714285714285
787,5.357142857142857
788,9.807692307692308
789,6.847826086956522
790,6.071428571428571
791,36.81818181818182
792,17.1
793,7.848837209302326
794,13.359375
795,7.874999999999999
796,3.813559322033898
797,13.965517241379311
798,20.625
799,21.25
800,15.241935483870966
801,22.5
802,13.06451612903226
803,16.693548387096776
804,17.8125
805,10.426829268292684
806,4.415887850467289
807,12.954545454545455
808,17.142857142857142
809,15.46875
810,15.833333333333334
811,13.08139534883721
812,5.0
813,8.066037735849056
814,5.306603773584905
815,9.818181818181818
816,7.633928571428572
817,10.625
818,5.089285714285714
819,5.921052631578947
820,4.6875
821,8.534482758620689
822,4.97093023255814
823,4.871134020618557
824,4.787234042553192
825,15.241935483870966
826,32.88461538461538
827,14.741379310344827
828,11.612903225806452
829,6.923076923076923
830,6.0
831,11.822033898305087
832,4.921875
833,5.555555555555555
834,15.0
835,13.06451612903226
836,5.75
837,15.967741935483872
838,6.53225806451613
839,6.081081081081082
840,17.205882352941174
841,13.06451612903226
842,7.8061224489795915
843,17.419354838709676
844,4.450549450549451
845,5.1
846,5.3999999999999995
847,7.325581395348838
848,2.9268292682926833
849,5.869565217391304
850,23.90625
851,10.465116279069766
852,10.714285714285714
853,9.72972972972973
854,15.220588235294118
855,5.1923076923076925
856,5.232558139534883
857,29.423076923076923
858,12.0
859,5.526315789473684
860,19.596774193548388
861,15.749999999999998
862,11.25
863,16.693548387096776
864,9.642857142857142
865,7.142857142857142
866,15.517241379310345
867,3.8793103448275863
868,3.75
869,13.23529411764706
870,5.625
871,11.612903225806452
872,5.981012658227847
873,15.46875
874,15.267857142857144
875,18.75
876,18.173076923076923
877,11.25
878,11.25
879,4.913793103448276
880,15.267857142857144
881,8.653846153846155
882,5.564516129032258
883,9.519230769230768
884,3.924418604651163
885,9.293478260869565
886,5.986238532110092
887,6.428571428571428
888,16.875
889,9.878048780487806
890,8.035714285714286
891,8.315217391304348
892,8.68421052631579
893,4.928571428571429
894,4.3269230769230775
895,3.7173913043478257
896,3.4615384615384617
897,13.08139534883721
898,9.095744680851062
899,5.948275862068966
900,4.186046511627907
901,4.709302325581396
902,4.0
903,8.617021276595745
904,6.223404255319149
905,4.04296875
906,3.33984375
907,8.78048780487805
908,7.5
909,16.25
910,10.862068965517242
911,14.711538461538462
912,3.2692307692307696
913,32.34375
914,9.583333333333334
915,5.625
916,6.639344262295082
917,7.705479452054794
918,10.053191489361701
919,16.5
920,8.035714285714286
921,12.115384615384615
922,13.359375
923,13.965517241379311
924,6.385135135135135
925,9.94186046511628
926,9.715909090909092
927,17.25
928,21.0
929,20.7
930,11.434426229508198
931,8.382352941176471
932,15.967741935483872
933,21.0
934,7.96875
935,5.037313432835821
936,11.01063829787234
937,11.875
938,4.615384615384615
939,9.519230769230768
940,3.8461538461538463
941,10.0
942,5.769230769230768
943,20.089285714285715
944,6.847826086956522
945,15.0
946,23.400000000000002
947,14.127906976744185
948,5.480769230769231
949,7.187499999999999
950,6.328125
951,6.02112676056338
952,7.605633802816901
953,7.627118644067796
954,10.561224489795919
955,15.517241379310345
956,10.3125
957,5.689655172413794
958,8.590909090909092
959,7.232142857142858
960,5.625
961,10.588235294117647
962,11.511627906976745
963,4.5
964,4.945054945054945
965,13.636363636363637
966,11.25
967,6.639344262295082
968,13.750000000000002
969,4.057377049180328
970,6.8999999999999995
971,8.724489795918368
972,6.887755102040816
973,8.152173913043478
974,5.163934426229508
975,7.5
976,12.794117647058822
977,4.945054945054945
978,9.94186046511628
979,4.648760330578512
980,5.4941860465116275
981,6.540697674418605
982,5.901639344262295
983,6.230769230769231
984,21.0
985,14.516129032258064
986,6.46551724137931
987,13.618421052631579
988,12.272727272727272
989,8.0859375
990,6.328125
991,5.8500000000000005
992,6.809210526315789
993,15.46875
994,30.0
995,7.187499999999999
996,7.288732394366198
997,22.5
998,11.25
999,6.923076923076923
1000,9.07258064516129
1001,8.4375
1002,20.089285714285715
1003,10.928571428571429
1004,5.50531914893617
1005,8.132530120481928
1006,12.321428571428573
1007,6.02112676056338
1008,7.279411764705883
1009,4.7727272727272725
1010,11.953125
1011,5.121951219512195
1012,17.419354838709676
1013,4.153846153846154
